,star,Name,Ticker,Price $,Market Return YTD %,Market Return 1Y %,Market Return 3Y %,"Premium 
		Fair Value Uncertainty Rating","Premium 
		Fair Value $","Premium 
		Morningstar Rating for Stocks"
0,2,1-800-Flowers.com Inc Class A,FLWS,30.70,18.08,118.51,33.17,High,25.82,
1,2,1Life Healthcare Inc Ordinary Shares,ONEM,42.49,−2.66,107.17,—,High,36.89,
2,2,2U Inc,TWOU,37.69,−5.80,90.84,−25.06,High,32.23,
3,2,Abbott Laboratories,ABT,118.22,8.38,62.57,24.60,Medium,97.00,
4,2,Academy Sports and Outdoors Inc Ordinary Shares,ASO,24.25,16.98,—,—,Very High,21.81,
5,2,Acadia Healthcare Co Inc,ACHC,59.43,18.25,245.93,13.03,High,54.00,
6,2,ACI Worldwide Inc,ACIW,39.96,3.98,74.96,15.45,High,36.34,
7,2,ACM Research Inc Class A,ACMR,93.16,14.66,343.41,95.65,Very High,62.85,
8,2,Acushnet Holdings Corp,GOLF,42.33,4.82,85.09,22.18,Medium,36.45,
9,2,AdaptHealth Corp Ordinary Shares,AHCO,38.07,1.36,174.48,—,High,29.07,
10,2,ADT Inc,ADT,8.33,6.11,110.17,2.68,High,6.84,
11,2,Aerojet Rocketdyne Holdings Inc,AJRD,47.18,−1.27,46.61,24.16,High,42.19,
12,2,AeroVironment Inc,AVAV,118.51,36.38,132.33,36.19,Very High,98.94,
13,2,Affiliated Managers Group Inc,AMG,147.74,45.28,181.11,−7.91,High,105.00,
14,2,Affirm Holdings Inc Ordinary Shares - Class A,AFRM,80.80,—,—,—,Very High,59.73,
15,2,Agilent Technologies Inc,A,123.00,3.97,92.94,21.34,Medium,95.00,
16,2,Akamai Technologies Inc,AKAM,100.21,−4.55,20.40,10.63,High,72.00,
17,2,Alaska Air Group Inc,ALK,70.60,35.77,117.03,3.31,High,61.28,
18,2,Albany International Corp,AIN,84.17,14.64,109.88,8.81,High,71.24,
19,2,Allegiant Travel Co,ALGT,256.97,35.79,191.95,13.83,Very High,216.68,
20,2,Allegro Microsystems Inc Ordinary Shares,ALGM,26.83,0.64,—,—,High,22.04,
21,2,Alliance Data Systems Corp,ADS,112.67,52.33,214.35,−19.76,Very High,79.00,
22,2,Allscripts Healthcare Solutions Inc,MDRX,15.37,6.44,196.15,5.28,High,11.40,
23,2,Alpine Auto Brokers Inc,ALTB,10.00,0.00,"1,860.78",237.55,Very High,7.07,
24,2,Altair Corp,ATCD,"2,900.00",−3.33,18.40,−4.18,Extreme,"1,939.40",
25,2,Altair Engineering Inc Class A,ALTR,60.64,4.23,141.50,27.03,Medium,51.72,
26,2,Ameresco Inc Class A,AMRC,49.52,−5.21,248.00,62.93,High,41.92,
27,2,American Eagle Outfitters Inc,AEO,30.33,51.81,258.37,17.55,High,25.76,
28,2,American Express Co,AXP,143.30,18.87,68.88,15.71,Medium,112.00,
29,2,American States Water Co,AWR,73.07,−7.68,13.71,12.34,Medium,62.56,
30,2,American Water Works Co Inc,AWK,141.16,−7.66,20.66,21.45,Low,122.00,
31,2,American Woodmark Corp,AMWD,101.82,8.49,114.09,−1.11,High,86.72,
32,2,America's Car-Mart Inc,CRMT,161.36,46.90,146.28,47.05,High,133.89,
33,2,Ameriprise Financial Inc,AMP,221.12,14.32,160.92,14.00,High,170.00,
34,2,AMETEK Inc,AME,120.84,0.08,94.40,15.98,Medium,101.00,
35,2,Amkor Technology Inc,AMKR,23.11,53.48,218.48,27.11,High,19.37,
36,2,AMN Healthcare Services Inc,AMN,75.10,10.04,6.68,7.92,High,51.00,
37,2,Amphenol Corp Class A,APH,65.31,−0.11,92.29,13.16,Medium,52.00,
38,2,ANGI Homeservices Inc A,ANGI,16.62,25.96,260.52,3.43,Very High,11.49,
39,2,AppFolio Inc A,APPF,141.06,−21.65,65.97,50.78,High,107.87,
40,2,Appian Corp A,APPN,167.18,3.14,417.75,85.10,High,125.52,
41,2,Apple Inc,AAPL,125.57,−5.21,108.73,42.17,High,98.00,
42,2,Applied Industrial Technologies Inc,AIT,90.56,16.54,124.68,8.54,High,80.08,
43,2,AptarGroup Inc,ATR,140.50,2.90,61.52,17.09,Medium,123.00,
44,2,ArcBest Corp,ARCB,69.78,63.72,318.51,25.84,Medium,55.32,
45,2,Archer-Daniels Midland Co,ADM,57.78,15.35,81.24,12.54,High,46.00,
46,2,Arcosa Inc,ACA,65.03,18.48,97.07,—,High,54.54,
47,2,Ares Management Corp Class A,ARES,54.68,17.22,105.58,40.30,High,48.33,
48,2,Arrowhead Pharmaceuticals Inc,ARWR,71.97,−6.20,230.74,112.22,High,54.96,
49,2,Artisan Partners Asset Management Inc,APAM,51.57,4.99,205.16,22.04,High,42.77,
50,2,Astec Industries Inc,ASTE,75.90,31.32,177.20,9.25,High,65.62,
51,2,Atkore Inc,ATKR,72.26,75.77,211.73,51.65,High,61.17,
52,2,Atrion Corp,ATRI,669.88,4.58,9.14,4.29,High,513.93,
53,2,Autodesk Inc,ADSK,275.01,−9.93,85.72,26.53,Medium,209.00,
54,2,Avalara Inc,AVLR,143.98,−12.68,117.36,—,High,127.70,
55,2,Avangrid Inc,AGR,48.43,7.52,17.38,2.51,Low,45.00,
56,2,Avantor Inc,AVTR,27.96,−0.67,178.21,—,Medium,24.37,
57,2,Avid Technology Inc,AVID,21.64,36.36,266.16,64.91,High,17.17,
58,2,Avnet Inc,AVT,40.23,15.18,74.32,−1.53,High,32.00,
59,2,Axon Enterprise Inc,AXON,147.03,20.00,172.68,57.03,High,117.54,
60,2,Balchem Corp,BCPC,128.81,11.79,54.64,16.68,Very High,93.00,
61,2,Ballys Corp Shs -144A-,BALY,69.38,38.12,456.38,—,High,52.15,
62,2,Bank of America Corp,BAC,37.64,24.78,87.67,7.19,High,30.00,
63,2,Barnes Group Inc,B,55.66,10.12,47.34,−2.43,High,49.21,
64,2,Beacon Roofing Supply Inc,BECN,54.06,34.51,232.68,−0.04,High,47.34,
65,2,Bed Bath & Beyond Inc,BBBY,31.11,75.17,410.84,13.38,Very High,22.00,
66,2,Bill.com Holdings Inc Ordinary Shares,BILL,151.80,11.21,318.76,—,High,101.65,
67,2,Bio-Rad Laboratories Inc,BIO,560.84,−3.79,67.06,28.71,High,385.00,
68,2,BlackLine Inc,BL,112.36,−15.76,162.89,40.63,Medium,100.93,
69,2,Bloom Energy Corp Class A,BE,28.00,−2.30,427.31,—,Very High,22.26,
70,2,Blue Bird Corp,BLBD,26.98,47.75,130.40,3.98,Very High,21.29,
71,2,Boot Barn Holdings Inc,BOOT,60.71,40.01,276.85,47.97,Very High,43.94,
72,2,Boston Beer Co Inc Class A,SAM,"1,103.35",10.97,260.22,82.84,Medium,930.00,
73,2,Boyd Gaming Corp,BYD,62.35,45.27,475.18,23.67,High,55.55,
74,2,Brinker International Inc,EAT,75.50,33.46,619.05,27.88,High,60.95,
75,2,Broadcom Inc,AVGO,478.18,9.21,162.04,26.07,Medium,350.00,
76,2,Broadridge Financial Solutions Inc,BR,147.63,−3.26,50.45,12.76,Low,128.00,
77,2,BRP Group Inc Class A,BRP,27.50,−8.24,147.30,—,Very High,24.12,
78,2,Bumble Inc Ordinary Shares Class A,BMBL,73.00,—,—,—,Very High,56.21,
79,2,BWX Technologies Inc,BWXT,63.66,5.96,32.10,1.19,High,55.71,
80,2,C.H. Robinson Worldwide Inc,CHRW,96.18,3.00,60.86,3.50,Medium,83.00,
81,2,Cable One Inc,CABO,"1,846.03",−17.02,56.54,38.42,High,"1,484.83",
82,2,Cabot Corp,CBT,52.70,18.20,107.12,−1.66,High,46.26,
83,2,Cactus Inc Class A,WHD,31.75,22.13,179.95,6.90,Very High,26.59,
84,2,Cadence Design Systems Inc,CDNS,129.39,−5.16,136.98,49.67,High,106.00,
85,2,Calavo Growers Inc,CVGW,80.68,16.20,55.72,−2.75,High,67.65,
86,2,California Water Service Group,CWT,54.15,0.65,28.40,14.80,High,48.24,
87,2,Callaway Golf Co,ELY,29.57,23.16,262.50,22.72,High,25.62,
88,2,Camden Property Trust,CPT,109.70,9.79,43.43,12.07,High,93.22,
89,2,Camping World Holdings Inc Class A,CWH,41.35,59.62,627.17,6.93,High,35.65,
90,2,Cardlytics Inc,CDLX,127.37,−10.79,191.60,97.91,High,107.44,
91,2,CareDx Inc,CDNA,71.09,−1.88,334.54,130.70,High,60.97,
92,2,CarMax Inc,KMX,131.12,38.81,138.62,27.76,High,93.00,
93,2,CarParts.com Inc,PRTS,14.61,17.92,595.71,89.70,Very High,10.49,
94,2,Casey's General Stores Inc,CASY,207.39,16.30,42.99,23.84,Medium,183.26,
95,2,Caterpillar Inc,CAT,226.46,24.98,146.85,14.99,High,158.00,
96,2,Cavco Industries Inc,CVCO,220.92,25.92,79.46,7.42,High,192.49,
97,2,CBIZ Inc,CBZ,33.26,24.99,66.88,20.31,Medium,28.44,
98,2,CDK Global Inc,CDK,53.46,3.43,54.41,−7.38,High,47.86,
99,2,Celanese Corp Class A,CE,143.70,11.11,121.14,12.23,High,111.00,
100,2,1-800-Flowers.com Inc Class A,FLWS,30.70,18.08,118.51,33.17,High,25.82,
101,2,1Life Healthcare Inc Ordinary Shares,ONEM,42.49,−2.66,107.17,—,High,36.89,
102,2,2U Inc,TWOU,37.69,−5.80,90.84,−25.06,High,32.23,
103,2,Abbott Laboratories,ABT,118.22,8.38,62.57,24.60,Medium,97.00,
104,2,Academy Sports and Outdoors Inc Ordinary Shares,ASO,24.25,16.98,—,—,Very High,21.81,
105,2,Acadia Healthcare Co Inc,ACHC,59.43,18.25,245.93,13.03,High,54.00,
106,2,ACI Worldwide Inc,ACIW,39.96,3.98,74.96,15.45,High,36.34,
107,2,ACM Research Inc Class A,ACMR,93.16,14.66,343.41,95.65,Very High,62.85,
108,2,Acushnet Holdings Corp,GOLF,42.33,4.82,85.09,22.18,Medium,36.45,
109,2,AdaptHealth Corp Ordinary Shares,AHCO,38.07,1.36,174.48,—,High,29.07,
110,2,ADT Inc,ADT,8.33,6.11,110.17,2.68,High,6.84,
111,2,Aerojet Rocketdyne Holdings Inc,AJRD,47.18,−1.27,46.61,24.16,High,42.19,
112,2,AeroVironment Inc,AVAV,118.51,36.38,132.33,36.19,Very High,98.94,
113,2,Affiliated Managers Group Inc,AMG,147.74,45.28,181.11,−7.91,High,105.00,
114,2,Affirm Holdings Inc Ordinary Shares - Class A,AFRM,80.80,—,—,—,Very High,59.73,
115,2,Agilent Technologies Inc,A,123.00,3.97,92.94,21.34,Medium,95.00,
116,2,Akamai Technologies Inc,AKAM,100.21,−4.55,20.40,10.63,High,72.00,
117,2,Alaska Air Group Inc,ALK,70.60,35.77,117.03,3.31,High,61.28,
118,2,Albany International Corp,AIN,84.17,14.64,109.88,8.81,High,71.24,
119,2,Allegiant Travel Co,ALGT,256.97,35.79,191.95,13.83,Very High,216.68,
120,2,Allegro Microsystems Inc Ordinary Shares,ALGM,26.83,0.64,—,—,High,22.04,
121,2,Alliance Data Systems Corp,ADS,112.67,52.33,214.35,−19.76,Very High,79.00,
122,2,Allscripts Healthcare Solutions Inc,MDRX,15.37,6.44,196.15,5.28,High,11.40,
123,2,Alpine Auto Brokers Inc,ALTB,10.00,0.00,"1,860.78",237.55,Very High,7.07,
124,2,Altair Corp,ATCD,"2,900.00",−3.33,18.40,−4.18,Extreme,"1,939.40",
125,2,Altair Engineering Inc Class A,ALTR,60.64,4.23,141.50,27.03,Medium,51.72,
126,2,Ameresco Inc Class A,AMRC,49.52,−5.21,248.00,62.93,High,41.92,
127,2,American Eagle Outfitters Inc,AEO,30.33,51.81,258.37,17.55,High,25.76,
128,2,American Express Co,AXP,143.30,18.87,68.88,15.71,Medium,112.00,
129,2,American States Water Co,AWR,73.07,−7.68,13.71,12.34,Medium,62.56,
130,2,American Water Works Co Inc,AWK,141.16,−7.66,20.66,21.45,Low,122.00,
131,2,American Woodmark Corp,AMWD,101.82,8.49,114.09,−1.11,High,86.72,
132,2,America's Car-Mart Inc,CRMT,161.36,46.90,146.28,47.05,High,133.89,
133,2,Ameriprise Financial Inc,AMP,221.12,14.32,160.92,14.00,High,170.00,
134,2,AMETEK Inc,AME,120.84,0.08,94.40,15.98,Medium,101.00,
135,2,Amkor Technology Inc,AMKR,23.11,53.48,218.48,27.11,High,19.37,
136,2,AMN Healthcare Services Inc,AMN,75.10,10.04,6.68,7.92,High,51.00,
137,2,Amphenol Corp Class A,APH,65.31,−0.11,92.29,13.16,Medium,52.00,
138,2,ANGI Homeservices Inc A,ANGI,16.62,25.96,260.52,3.43,Very High,11.49,
139,2,AppFolio Inc A,APPF,141.06,−21.65,65.97,50.78,High,107.87,
