,star,Name,Ticker,Price $,Market Return YTD %,Market Return 1Y %,Market Return 3Y %,"Premium 
		Fair Value Uncertainty Rating","Premium 
		Fair Value $","Premium 
		Morningstar Rating for Stocks"
0,1,A.O. Smith Corp,AOS,65.63,20.19,75.39,1.36,Medium,55.04,
1,1,AAON Inc,AAON,72.95,9.49,42.97,23.68,High,53.06,
2,1,Abiomed Inc,ABMD,308.69,−4.78,116.72,1.75,Medium,225.29,
3,1,ABM Industries Inc,ABM,51.41,36.36,97.41,15.28,Medium,41.38,
4,1,Acuity Brands Inc,AYI,143.67,18.75,71.00,−1.10,High,120.41,
5,1,Advanced Drainage Systems Inc,WMS,104.20,24.78,247.95,58.86,High,78.61,
6,1,Advanced Energy Industries Inc,AEIS,107.47,10.93,164.82,15.04,High,87.78,
7,1,AGCO Corp,AGCO,142.11,38.01,197.58,28.75,High,77.00,
8,1,Airbnb Inc Ordinary Shares - Class A,ABNB,200.01,36.25,—,—,High,75.00,
9,1,Alamo Group Inc,ALG,160.02,16.10,83.89,11.45,High,132.11,
10,1,Alarm.com Holdings Inc,ALRM,88.61,−14.35,158.41,31.54,High,72.18,
11,1,Align Technology Inc,ALGN,542.54,1.53,235.48,26.13,High,259.00,
12,1,AMC Networks Inc A,AMCX,76.31,113.34,171.95,14.84,High,46.00,
13,1,Amedisys Inc,AMED,267.25,−8.89,94.77,62.11,High,212.66,
14,1,Ansys Inc,ANSS,330.78,−9.08,60.30,25.76,Medium,230.00,
15,1,Array Technologies Inc Ordinary Shares,ARRY,35.94,−16.69,—,—,Very High,23.39,
16,1,Arthur J. Gallagher & Co,AJG,127.90,3.77,62.47,23.31,Medium,109.28,
17,1,ASGN Inc,ASGN,98.61,18.05,204.82,5.01,High,76.83,
18,1,At Home Group Inc,HOME,29.18,88.75,942.14,0.15,High,23.32,
19,1,Automatic Data Processing Inc,ADP,188.28,7.38,56.75,19.18,Medium,136.00,
20,1,Avery Dennison Corp,AVY,180.53,16.79,88.57,18.83,High,98.00,
21,1,Avient Corp,AVNT,49.44,23.27,228.99,6.34,High,40.76,
22,1,Avis Budget Group Inc,CAR,66.48,78.23,364.90,10.76,High,50.68,
23,1,Badger Meter Inc,BMI,100.11,6.62,104.84,27.80,High,72.32,
24,1,Ball Corp,BLL,83.90,−9.80,44.62,28.18,Medium,49.00,
25,1,Bentley Systems Inc Ordinary Shares - Class B,BSY,44.16,9.08,—,—,High,29.07,
26,1,Bio-Techne Corp,TECH,388.37,22.40,141.76,38.33,High,215.00,
27,1,Boise Cascade Co,BCC,59.57,24.83,154.84,15.60,High,47.64,
28,1,Bright Horizons Family Solutions Inc,BFAM,167.02,−3.45,77.10,18.19,High,134.85,
29,1,Brooks Automation Inc,BRKS,87.10,28.52,253.96,44.10,High,70.62,
30,1,Brown & Brown Inc,BRO,46.95,−0.78,27.82,22.04,Medium,40.05,
31,1,Bruker Corp,BRKR,61.05,12.86,91.94,27.01,High,46.58,
32,1,Brunswick Corp,BC,103.42,36.00,217.45,19.88,High,79.86,
33,1,Buckle Inc,BKE,42.11,44.21,209.41,35.96,High,32.43,
34,1,Builders FirstSource Inc,BLDR,45.80,12.23,275.41,30.10,High,36.92,
35,1,Burlington Stores Inc,BURL,308.55,17.97,134.14,34.44,Medium,183.00,
36,1,Caesars Entertainment Inc,CZR,95.80,28.99,595.21,37.94,High,63.00,
37,1,Calix Inc,CALX,47.77,60.52,669.24,87.91,Very High,31.09,
38,1,Carlisle Companies Inc,CSL,156.84,0.76,32.43,15.49,Medium,130.90,
39,1,Carter's Inc,CRI,90.07,−4.25,40.47,−5.57,High,73.62,
40,1,Carvana Co Class A,CVNA,283.65,18.41,623.97,138.23,High,194.94,
41,1,Casella Waste Systems Inc Class A,CWST,65.37,5.52,64.04,40.72,Medium,52.48,
42,1,Catalent Inc,CTLT,103.52,−0.53,165.84,35.48,High,87.08,
43,1,CDW Corp,CDW,160.97,22.44,86.88,29.55,High,127.90,
44,1,Celsius Holdings Inc,CELH,46.95,−6.68,"1,358.07",109.17,High,28.06,
45,1,Charles River Laboratories International Inc,CRL,288.53,15.48,175.68,37.45,Medium,161.00,
46,1,Chart Industries Inc,GTLS,158.60,34.65,572.60,38.37,High,113.79,
47,1,Chewy Inc,CHWY,82.29,−8.45,239.06,—,High,53.68,
48,1,Church & Dwight Co Inc,CHD,83.40,−4.10,39.62,19.89,Medium,55.00,
49,1,Churchill Downs Inc,CHDN,242.90,24.70,222.55,40.56,High,191.81,
50,1,Cintas Corp,CTAS,347.95,−1.35,73.92,27.22,Medium,233.00,
51,1,Cleveland-Cliffs Inc,CLF,15.92,9.34,301.51,29.47,High,12.13,
52,1,CMC Materials Inc Ordinary Shares,CCMP,180.76,19.47,95.82,17.95,High,143.67,
53,1,Coeur Mining Inc,CDE,9.81,−5.22,273.00,6.37,High,7.03,
54,1,Cognex Corp,CGNX,83.33,3.87,122.46,15.84,High,64.69,
55,1,Columbia Sportswear Co,COLM,103.90,19.20,73.83,10.82,High,85.55,
56,1,Conmed Corp,CNMD,125.27,12.03,116.13,25.64,High,103.90,
57,1,Cooper Tire & Rubber Co,CTB,56.97,40.93,220.97,24.26,High,46.86,
58,1,Copart Inc,CPRT,109.03,−14.32,63.78,28.79,Medium,92.15,
59,1,CoreLogic Inc,CLGX,79.21,2.87,98.67,20.15,High,66.56,
60,1,Corsair Gaming Inc Ordinary Shares,CRSR,34.18,−5.63,—,—,Very High,24.39,
61,1,CorVel Corp,CRVL,110.21,3.97,92.98,27.64,High,81.30,
62,1,Coty Inc Class A,COTY,9.02,28.49,52.36,−18.95,High,5.50,
63,1,Crocs Inc,CROX,81.60,30.23,392.16,76.38,High,62.46,
64,1,Crown Castle International Corp,CCI,165.05,4.52,25.25,17.98,High,95.00,
65,1,CSW Industrials Inc,CSWI,133.57,19.48,115.37,42.74,High,99.87,
66,1,CubeSmart,CUBE,38.48,14.49,69.62,14.69,High,32.43,
